2 14 17
2 14 20
2 14 23
2 14 26
2 14 29
2 14 32
2 15 16
2 15 19
2 15 22
2 15 25
2 15 28
2 15 31
2 15 34
2 16 18
2 16 21
2 16 24
2 16 27
2 16 30
2 16 33
2 17 20
2 17 23
2 17 26
2 17 29
2 17 32
2 18 19
2 18 22
2 18 25
2 18 28
2 18 31
2 18 34
2 19 21
2 19 24
2 19 27
2 19 30
2 19 33
2 20 23
2 20 26
2 20 29
2 20 32
2 21 22
2 21 25
2 21 28
2 21 31
2 21 34
2 22 24
2 22 27
2 22 30
2 22 33
2 23 26
2 23 29
2 23 32
2 24 25
2 24 28
2 24 31
2 24 34
2 25 27
2 25 30
2 25 33
2 26 29
2 26 32
2 27 28
2 27 31
2 27 34
2 28 30
2 28 33
2 29 32
2 30 31
2 30 34
2 31 33
2 33 34
3 4 5
3 4 8
3 4 11
3 4 14
3 4 17
3 4 20
3 4 23
3 4 26
3 4 29
3 4 32
3 5 7
3 5 10
3 5 13
3 5 16
3 5 19
3 5 22
3 5 25
3 5 28
3 5 31
3 5 34
3 6 9
3 6 12
3 6 15
3 6 18
3 6 21
3 6 24
3 6 27
3 6 30
3 6 33
3 7 8
3 7 11
3 7 14
3 7 17
3 7 20
3 7 23
3 7 26
3 7 29
3 7 32
3 8 10
3 8 13
3 8 16
3 8 19
3 8 22
3 8 25
3 8 28
3 8 31
3 8 34
3 9 12
3 9 15
3 9 18
3 9 21
3 9 24
3 9 27
3 9 30
3 9 33
3 10 11
3 10 14
3 10 17
3 10 20
3 10 23
3 10 26
3 10 29
3 10 32
3 11 13
3 11 16
3 11 19
3 11 22
3 11 25
3 11 28
3 11 31
3 11 34
3 12 15
3 12 18
3 12 21
3 12 24
3 12 27
3 12 30
3 12 33
3 13 14
3 13 17
3 13 20
3 13 23
3 13 26
3 13 29
3 13 32
3 14 16
3 14 19
3 14 22
3 14 25
3 14 28
3 14 31
3 14 34
3 15 18
3 15 21
3 15 24
3 15 27
3 15 30
3 15 33
3 16 17
3 16 20
3 16 23
3 16 26
3 16 29
3 16 32
3 17 19
3 17 22
3 17 25
3 17 28
3 17 31
3 17 34
3 18 21
3 18 24
3 18 27
3 18 30
3 18 33
3 19 20
3 19 23
3 19 26
3 19 29
3 19 32
3 20 22
3 20 25
3 20 28
3 20 31
3 20 34
3 21 24
3 21 27
3 21 30
3 21 33
3 22 23
3 22 26
3 22 29
3 22 32
3 23 25
3 23 28
3 23 31
3 23 34
3 24 27
3 24 30
3 24 33
3 25 26
3 25 29
3 25 32
3 26 28
3 26 31
3 26 34
3 27 30
3 27 33
3 28 29
3 28 32
3 29 31
3 29 34
3 30 33
3 31 32
3 32 34
4 5 6
4 5 9
4 5 12
4 5 15
4 5 18
4 5 21
4 5 24
4 5 27
4 5 30
